datetime,microsec,label,impulses, pax,pay,paz,pzx,pzy,pzz,pmx,pmy,pmz, bax,bay,baz,bzx,bzy,bzz,bmx,bmy,bmz
Tue May 16 21:25:45 2023,773348,0,0,-0.002686,-0.002563,1.008057, 0.171967,-1.323395,-0.695343, 0.499100,-0.111300,0.548940, 0.007690,0.001648,1.004761, -5.039368,12.164764,7.723541, -0.073920,-0.120820,0.451360
Tue May 16 21:25:45 2023,832948,0,0,-0.003296,0.001770,0.984680, -0.082245,-2.489777,-1.450500, 0.466620,-0.118020,0.548100, 0.007385,0.003479,1.003723, -5.024414,11.895599,7.902985, -0.077420,-0.123900,0.445620
Tue May 16 21:25:45 2023,892449,0,0,-0.014282,0.002747,0.987061, 0.149536,-3.005676,-1.233673, 0.472080,-0.119000,0.550760, 0.009094,-0.008484,1.003357, -4.949646,11.761017,8.433838, -0.073780,-0.123200,0.443380
Tue May 16 21:25:45 2023,951653,0,0,0.002380,-0.012756,1.006226, 0.029907,-2.063599,-1.031799, 0.477400,-0.117320,0.551740, 0.007690,0.001648,1.006409, -4.837494,11.491852,8.658142, -0.082460,-0.128240,0.445480
Tue May 16 21:25:46 2023,010903,0,0,-0.010681,0.001465,0.984375, -0.246735,-1.876678,-1.024323, 0.470820,-0.122220,0.552720, 0.004456,0.001892,1.011414, -4.934692,11.536713,8.516083, -0.071400,-0.124180,0.448140
Tue May 16 21:25:46 2023,070204,0,0,-0.010864,0.001953,0.989441, -0.291595,-1.151428,-0.186920, 0.470820,-0.112560,0.553280, 0.004272,0.004944,1.009766, -4.987030,11.491852,7.237549, -0.070140,-0.125860,0.446740
Tue May 16 21:25:46 2023,122583,0,0,-0.007812,0.000977,0.982788, -0.104675,-1.644897,-0.112152, 0.472360,-0.113260,0.554120, 0.000732,-0.000854,1.006958, -4.957123,11.820831,8.665619, -0.076860,-0.125860,0.442680
Tue May 16 21:25:46 2023,169582,0,0,0.004517,0.001770,0.998840, -0.665436,-2.056122,-1.330872, 0.473900,-0.115920,0.554400, 0.002625,0.000488,1.011230, -4.867401,11.521759,8.874969, -0.079800,-0.126560,0.440160
Tue May 16 21:25:46 2023,218229,0,0,-0.006348,-0.000610,0.997009, -0.560760,-2.310333,-0.373840, 0.472920,-0.117740,0.554400, 0.008728,-0.005371,1.007629, -4.717865,11.028290,9.555359, -0.077140,-0.125860,0.444220
Tue May 16 21:25:46 2023,277519,0,0,0.003174,-0.008057,1.011475, -0.620575,-2.616882,-0.844879, 0.471520,-0.116480,0.551880, 0.004639,-0.007812,1.008789, -4.635620,11.716156,8.927307, -0.076020,-0.126280,0.439880
Tue May 16 21:25:46 2023,336833,0,0,-0.003235,0.000977,1.001160, -0.485992,-1.525269,-0.657959, 0.466480,-0.112700,0.557760, 0.003174,0.005493,1.013611, -6.901093,11.828308,8.904877, -0.077840,-0.124320,0.442540
Tue May 16 21:25:46 2023,396122,0,0,0.001221,0.000305,0.990479, -0.067291,-0.366364,-0.299072, 0.473480,-0.113680,0.551740, 0.002075,0.003723,1.010498, -4.987030,11.731110,8.418884, -0.072100,-0.127960,0.443380
Tue May 16 21:25:46 2023,455497,0,0,-0.001221,0.000732,1.006348, 0.149536,-0.882263,-0.343933, 0.472640,-0.116200,0.549500, 0.001648,0.006409,1.014038, -4.949646,11.633911,9.069366, -0.075040,-0.123200,0.434140
Tue May 16 21:25:46 2023,514874,0,0,-0.002136,-0.003540,0.997192, 0.127106,-2.183228,-0.957031, 0.469420,-0.113400,0.551880, 0.006348,0.006165,1.013123, -5.144043,11.761017,8.605804, -0.075600,-0.122080,0.439460
Tue May 16 21:25:46 2023,564082,0,0,0.002380,0.000244,0.999939, 0.022430,-2.220612,-1.211243, 0.473060,-0.116200,0.549360, 0.003601,0.000610,1.011841, -5.151520,11.753540,8.874969, -0.071820,-0.116200,0.440580
Tue May 16 21:25:46 2023,611967,0,0,-0.001709,0.006958,0.997620, 0.127106,-1.547699,-0.545807, 0.470960,-0.114380,0.545580, -0.002747,0.002319,1.010986, -4.852448,11.611481,8.471222, -0.075040,-0.121100,0.447160
Tue May 16 21:25:46 2023,665300,0,0,0.001892,0.002441,0.994080, 0.119629,-1.816864,-0.657959, 0.472500,-0.115500,0.544600, 0.003235,0.005188,1.013977, -4.912262,11.843262,8.030090, -0.077280,-0.125160,0.437080
Tue May 16 21:25:46 2023,724842,0,0,-0.004211,0.003723,0.982971, -0.231781,-1.644897,-0.755157, 0.469980,-0.111300,0.548940, 0.002991,0.002014,1.012817, -4.859924,11.514282,7.858124, -0.073640,-0.125300,0.441560
